team,url,name,SKU,price,color,detail
Green Bay Packers,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826750,Green Bay Packers 2016 NFL Kids Draft 59FIFTY Cap,20826750,$29.99,Green/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
Detroit Lions,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826749,Detroit Lions 2016 NFL Kids Draft 59FIFTY Cap,20826749,$29.99,LightBlue/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
Cincinnati Bengals,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826746,Cincinnati Bengals 2016 NFL Kids Draft 59FIFTY Cap,20826746,$29.99,Black/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
Chicago Bears,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826745,Chicago Bears 2016 NFL Kids Draft 59FIFTY Cap,20826745,$29.99,Navy/Heather Gray,"Made of 100% Polyester, Woven"
Buffalo Bills,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826743,Buffalo Bills 2016 NFL Kids Draft 59FIFTY Cap,20826743,$29.99,RoyalBlue/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
Baltimore Ravens,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826742,Baltimore Ravens 2016 NFL Kids Draft 59FIFTY Cap,20826742,$29.99,Black/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
New England Patriots,http://shop.neweracap.com/style/NFL-2012-Kids-Classics-59FIFTY-Cap/20395231,New England Patriots NFL 2012 Kids Classics 59FIFTY Cap,20395231,$24.99,Navy,"Made of 100% Polyester, Woven"
New York Yankees,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055145,New York Yankees MLB Authentic Collection 59FIFTY Cap,20055145,$25.99,Navy,"Made of 100% Polyester, Woven"
Chicago Cubs,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249775,Chicago Cubs MLB Authentic Collection 59FIFTY Cap,20249775,$19.99,RoyalBlue,"Made of 100% Polyester, Woven"
Atlanta Braves,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841479,Atlanta Braves 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841479,$27.99,Navy/White,"Made of 100% Polyester, Woven"
Toronto Blue Jays,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817238,Toronto Blue Jays MLB Kids 2016 Diamond Era 59FIFTY Cap,20817238,$25.99,Navy,"Made of 100% Polyester, Woven"
Cleveland Indians,http://shop.neweracap.com/style/2016-MLB-Youth-World-Series-59Fifty-AC-Patch-Cap/20899250,Cleveland Indians 2016 MLB Youth World Series 59Fifty AC Patch Cap,20899250,$29.99,Navy/Red,"Made of 100% Polyester, Woven"
Chicago Cubs,http://shop.neweracap.com/style/Youth-Gray-Black-and-White-Cap/20398530,Chicago Cubs MLB Youth Gray Black and White 59FIFTY,20398530,$24.99,Gray,"Made of 100% Polyester, Woven"
Toronto Blue Jays,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20388081,Toronto Blue Jays MLB Authentic Collection 59FIFTY Cap,20388081,$19.99,RoyalBlue,"Made of 100% Polyester, Woven"
Chicago Cubs,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20058207,Chicago Cubs MLB Authentic Collection 59FIFTY Cap,20058207,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
San Diego Padres,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20830465,San Diego Padres MLB Authentic Collection 59FIFTY Cap,20830465,$25.99,Brown/Yellow,"Made of 100% Polyester, Woven"
Boston Red Sox,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817197,Boston Red Sox MLB Kids 2016 Diamond Era 59FIFTY Cap,20817197,$25.99,Red/Navy,"Made of 100% Polyester, Woven"
Toronto Blue Jays,http://shop.neweracap.com/Style/59Fifty-MLB-Black-and-White-Fashion/20593166,Toronto Blue Jays MLB Black and White Fashion 59FIFTY Cap,20593166,$24.99,Black/White,"Made of 100% Wool, Woven"
New York Yankees,http://shop.neweracap.com/style/Youth-Gray-Black-and-White-Cap/20398562,New York Yankees MLB Youth Gray Black and White 59FIFTY,20398562,$24.99,Gray,"Made of 100% Polyester, Woven"
Toronto Blue Jays,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20383499,Toronto Blue Jays MLB Authentic Collection 59FIFTY Cap,20383499,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
Boston Red Sox,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249774,Boston Red Sox MLB Authentic Collection 59FIFTY Cap,20249774,$19.99,Navy,"Made of 100% Polyester, Knit"
Dallas Cowboys,http://shop.neweracap.com/style/NFL-2012-Kids-Classics-59FIFTY-Cap/20396235,Dallas Cowboys NFL 2012 Kids Classics 59FIFTY Cap,20396235,$24.99,Navy,"Made of 100% Polyester, Woven"
Atlanta Falcons,http://shop.neweracap.com/style/NFL-2012-Kids-Classics-59FIFTY-Cap/20395225,Atlanta Falcons NFL 2012 Kids Classics 59FIFTY Cap,20395225,$24.99,Red/Black,"Made of 100% Polyester, Woven"
